Category_ID,Category
1,Non-Educational (Film & Animation)
2,Non-Educational(Autos & Vehicles)
10,Non-Educational (Music)
15,Non-Educational (Pets & Animals)
17,Non-Educational (Sports)
18,Non-Educational (Short Movies)
19,Non-Educational (Travel & Events)
20,Non-Educational (Gaming)
21,Non-Educational (Videoblogging)
22,Non-Educational (People & Blogs)
23,Non-Educational (Comedy)
24,Non-Educational (Entertainment)
25,Non-Educational (News & Politics)
26,Non-Educational (Howto & Style)
27,Educational
28,Non-Educational
29,Non-Educational (Nonprofits & Activism)
30,Non-Educational (Movies)
31,Non-Educational (Anime/Animation)
32,Non-Educational (Action/Adventure)
33,Non-Educational (Classics)
34,Non-Educational (Comedy)
35,Non-Educational (Documentary)
36,Non-Educational (Drama)
37,Non-Educational (Family)
38,Non-Educational (Foreign)
39,Non-Educational (Horror)
40,Non-Educational (Sci-Fi/Fantasy)
41,Non-Educational (Thriller)
42,Non-Educational (Shorts)
43,Non-Educational (Shows)
44,Non-Educational (Trailers)
